participant_id,rule_group,empirical_remove_rate,rater_effect
P_1781988206397_r47qmmgw2,unassigned,0.1,-0.7790502947666021
P_1781988186011_2bpgzspes,unassigned,0.4,0.1769657414349926
P_1781988246441_hmmeuaa2a,unassigned,0.05,-0.7150075729748738
P_1781988245307_lov7c04bf,unassigned,0.25,-0.1338907198818379
P_1781988220999_1kwkf00j8,unassigned,0.05,-0.8339457012499646
P_1781988212469_e2hzca3e1,unassigned,0.0,-0.903715192469942
P_1781988240483_g85adfvjr,high_cluster_1,0.35,0.1719333605630985
P_1781988240902_au9ko2la8,unassigned,0.15,-0.5950017063435821
P_1781988255163_he4kg0j8w,high_cluster_1,0.35,0.4192335232241967
P_1781988325842_mnczczy1k,unassigned,0.1,-0.7727620568013841
P_1781988253057_espnjwuom,unassigned,0.15,-0.4911614060989399
P_1781988246771_yhwgim22w,unassigned,0.0,-0.9080150312947776
P_1781988379249_lri41xkxb,unassigned,0.35,-0.2266208525717269
P_1781988210659_74wuipr92,unassigned,0.3,0.0568848188164908
P_1781988180304_vwbxx2ano,unassigned,0.25,0.0085462491770216
P_1781988235069_ub2lj8vpd,unassigned,0.25,0.104354843822664
P_1781988246801_owiddf2uk,unassigned,0.0,-0.9425439160858328
P_1781988389030_dpt0l5565,low_cluster_0,0.15,-0.4001739410261854
P_1781988273834_s71ubqez7,unassigned,0.5,1.3496783174685547
P_1781988154941_4dtx1cmlk,unassigned,0.45,0.22405650302025
P_1781988181059_dz3gsm5e0,unassigned,0.0,-0.8207874001189351
P_1781988249533_2h2rjqbwu,unassigned,0.35,-0.0236381899509497
P_1781988458422_kuiiwzsv3,high_cluster_1,0.25,-0.2426403010195295
P_1781988224917_ly260s5fm,unassigned,0.35,0.2828837958286279
P_1781988464969_pwsxchcc0,unassigned,0.5,0.6581511506492093
P_1781988242937_f6m19q4vc,unassigned,0.05,-0.835105661069831
P_1781988164796_o1d1rt7e6,low_cluster_0,0.05,-0.8667966556460608
P_1781988253085_qt73si2md,unassigned,0.0,-1.0032780901505984
P_1781988268588_j27nz4nie,low_cluster_0,0.1,-0.7608707408291339
P_1781988274537_och6nbub5,unassigned,0.0,-0.7506919761158796
P_1781988226480_tifxypqlp,unassigned,0.45,0.3654046096733352
P_1781988286378_h91p9fqaa,low_cluster_0,0.1,-0.6727529394895556
P_1781988272870_mhv9kxenz,unassigned,0.25,-0.3830755262980022
P_1781988309389_fpjt3r7yw,low_cluster_0,0.6,0.6076757393649844
P_1781988300083_vfw2qgu8s,unassigned,0.05,-0.702810350766845
P_1781988276345_he0choz05,unassigned,0.2,-0.0992541324849001
P_1781988428559_0bpgiey89,unassigned,0.15,-0.3253109003395513
P_1781988331925_qdi26rhhn,high_cluster_1,0.3,-0.0790659544040516
P_1781988233313_nrw2up5uu,unassigned,0.0,-0.9088066711721756
P_1781988501438_005g9h239,unassigned,0.2,-0.496121667565976
P_1781988263897_d231rte3t,unassigned,0.1,-0.6777440963836822
P_1781988419853_f9inddnam,unassigned,0.0,-0.9201415798312694
P_1781988261448_qcp1v952b,unassigned,0.4,0.4899321093764472
P_1781988469930_2a14wbx1j,unassigned,0.3,-0.1113161978503907
P_1781988258029_1xgskd2mv,unassigned,0.15,-0.737723304318958
P_1781988321032_4kkqntpjo,unassigned,0.1,-0.370482488853404
P_1781988217722_zzta332cp,low_cluster_0,0.2,-0.5138875111256224
P_1781988391301_j31w1p64i,unassigned,0.05,-0.6347568920064154
P_1781988181651_gkqn8vp7r,low_cluster_0,0.15,-0.3780217629902037
P_1781988602144_tanbtmxsw,unassigned,0.5,0.6278827491703018
P_1781988251492_cf1f0ovhk,unassigned,0.1,-0.3856315762122195
P_1781988275068_lde9rj6q8,high_cluster_1,0.4,0.4327949642884414
P_1781988284217_4s41evkqt,unassigned,0.45,0.6076534137040575
P_1781988379959_4d9om038m,unassigned,0.35,0.1416142708201836
P_1781988288998_birqczteo,unassigned,0.2,0.1466337498156242
P_1781988405121_vtgpsyg2u,unassigned,0.0,-0.8485634374207057
P_1781988215171_es1z5cn0p,unassigned,0.7,1.2890447670320682
P_1781988438678_5wzdbdnxx,low_cluster_0,0.15,-0.5939741290722659
P_1781988329828_3d9xz56og,high_cluster_1,0.2,-0.0840255964496525
P_1781988533114_xtgzvodok,unassigned,0.25,-0.1245497168247886
P_1781988384504_qfty0g05t,unassigned,0.1,-0.6119095804621161
P_1781988227951_mfgf27zjw,unassigned,0.2,-0.2344972802350209
P_1781988577701_o0wjokov1,unassigned,0.1,-0.710993126362034
P_1781988604693_rqawubwhi,unassigned,0.45,0.5757601391756467
P_1781988562555_43wvg8422,unassigned,0.0,-0.9041406435470868
P_1781988320001_vf713xtna,unassigned,0.25,0.0843160437664694
P_1781988433123_brcgpgruv,unassigned,0.1,-0.6218644858121268
P_1781988268738_vflio5jcg,unassigned,0.1,-0.7310650010783603
P_1781988242093_3v25w29ra,high_cluster_1,0.45,0.5000319727851988
P_1781988253627_c4n62lei7,unassigned,0.0,-1.044514866957898
P_1781988443015_ru2f7lmwh,unassigned,0.0,-0.8473264950132843
P_1781988311980_5xi8zfahe,unassigned,0.55,0.8835323873601837
P_1781988490041_y98an7rvy,unassigned,0.0,-0.5998851602287397
P_1781988387976_oh3cnj9mz,unassigned,0.55,0.7506699149871552
P_1781988391942_2riixawcz,unassigned,0.3,-0.0034053692857693
P_1781988471694_logoq41wb,unassigned,0.0,-0.8919029728097424
P_1781988271451_7aggow4a6,unassigned,0.05,-0.7893023537486598
P_1781988444481_3mia4thve,unassigned,0.2,-0.2442907387532784
P_1781988596910_ylxwm4glj,unassigned,0.4,0.5051045201839188
P_1781988616237_kxli6rhvx,unassigned,0.0,-0.898598566121556
P_1781988305881_rmf1wodo3,unassigned,0.35,0.0167303910925692
P_1781988249600_1i1hrz7wd,unassigned,0.65,1.3175210197909926
P_1781988301983_fjecy21eo,unassigned,0.5,0.7405728263129339
P_1781988352041_gzvq5objx,unassigned,0.0,-0.9315686385083684
P_1781988716479_tgml0olqg,unassigned,0.3,-0.0356057187943443
P_1781988428622_hsv17arev,unassigned,0.5,0.5000381156372853
P_1781988422249_xaeavm74o,unassigned,0.5,0.6329128680387321
P_1781988614436_02rc3xpi3,unassigned,0.1,-0.602046576298135
P_1781988442487_am19pqv21,unassigned,0.05,-0.6976776445027862
P_1781988414372_5yr19oyzr,unassigned,0.45,0.109480810199978
P_1781988496102_fx34lwusz,unassigned,0.3,-0.0205438636200144
P_1781988407805_cel0nsn4q,unassigned,0.5,0.4849064407903583
P_1781988461624_ulerp6lk8,unassigned,0.2,-0.0722194538687321
P_1781988354363_sq4wojdrn,unassigned,0.25,-0.3603661133504682
P_1781988324828_b39ze6er1,unassigned,0.15,-0.5990006459592504
P_1781988457170_n3tw39z7h,low_cluster_0,0.05,-0.7978943818153764
P_1781988374124_hnnojzk7o,unassigned,0.65,0.945902930213756
P_1781988422179_9zlg185wn,unassigned,0.1,-0.7507183364657942
P_1781988369966_rkh8ra01p,high_cluster_1,0.2,-0.2325015319638214
P_1781988443654_7jw23ia7u,unassigned,0.5,0.2796184105692403
P_1781988295386_sdd1uoq0o,unassigned,0.15,-0.3604524165440996
P_1781988466176_dv343qwvr,unassigned,0.2,-0.3379728359597945
P_1781988472440_xjc98c3qw,low_cluster_0,0.15,-0.5519188853487055
P_1781988470164_uweduajrb,unassigned,0.4,0.3080341312951192
P_1781988716749_x36fwfxz0,unassigned,0.35,-0.1345026087847481
P_1781988308565_nmrad1q5o,unassigned,0.25,-0.242236658970635
P_1781988647827_bjsmgny84,unassigned,0.4,0.335162396233621
P_1781988493969_5yxghglna,unassigned,0.2,-0.3452159558795289
P_1781988431014_owfrgqubo,unassigned,0.4,0.4226884031301958
P_1781988380481_82gt05u42,high_cluster_1,0.35,0.3047670101448357
P_1781988272132_52jvdg7uk,unassigned,0.25,-0.2474386165425117
P_1781988157590_07yjc9e60,unassigned,0.05,-0.7409778040000078
P_1781988382621_bqavgwd5i,unassigned,0.4,0.0439583197766092
P_1781988676801_es50f00uk,unassigned,0.05,-0.9151571502929612
P_1781988773453_c1oyb2wul,unassigned,0.1,-0.6927173163844039
P_1781988615018_5pz1fihk6,unassigned,0.05,-0.7527717122906407
P_1781988430052_rqdnfs3ks,unassigned,0.2,-0.0911316594099549
P_1781988548969_43w7ni69c,unassigned,0.25,0.0186799667460715
P_1781988440113_1cubrrl59,high_cluster_1,0.2,-0.2772973989783391
P_1781988563793_87b9i61eh,unassigned,0.25,-0.1518167899923194
P_1781988288054_15t9omflg,low_cluster_0,0.25,-0.1193709368001606
P_1781988550627_fblkh52vf,unassigned,0.5,0.3873190229784287
P_1781988691382_cqvk4zqxo,low_cluster_0,0.0,-0.8156908833204503
P_1781988339028_jaxjars6t,unassigned,0.0,-1.0070550658510058
P_1781988183450_a55wxzoo4,unassigned,0.3,-0.212362226923885
P_1781988685754_d63rxr59s,high_cluster_2,0.25,-0.3252806476078086
P_1781988261033_hsqyxobzf,unassigned,0.25,0.1971359897044683
P_1781988369332_uitgt3706,unassigned,0.35,0.1213694364145751
P_1781988533633_ti7qvwxmg,high_cluster_1,0.2,-0.3604626576092941
P_1781988280304_qw29r3hul,unassigned,0.15,-0.4080976209260116
P_1781988706239_4y90ahwk7,unassigned,0.15,-0.2120889208634107
P_1781988803496_ustwcs1nc,unassigned,0.0,-0.9637051914531136
P_1781988520570_z9g4o51b8,unassigned,0.1,-0.6596771610533488
P_1781988778762_mvbmiqjr6,unassigned,0.45,0.325079252033697
P_1781988751395_r96s1ec83,low_cluster_0,0.0,-0.8137861766815765
P_1781988521848_1qofjrr81,unassigned,0.45,0.5454978798079547
P_1781988474177_73m6ff2qi,low_cluster_0,0.3,0.536972144332112
P_1781988315879_v0g2k0p0u,unassigned,0.35,0.5101530597081545
P_1781988452456_jou9eqt8n,unassigned,0.65,1.379777539051453
P_1781988263777_uuinqqrc9,unassigned,0.2,-0.4735778619377179
P_1781988877561_gciygi3mn,unassigned,0.15,-0.7129548864113547
P_1781988864714_gmgk3b52n,low_cluster_0,0.05,-0.5217272109231882
P_1781988453736_hg3i2wjbd,unassigned,0.15,-0.4353519520015912
P_1781988279536_5if8t7id3,unassigned,0.3,0.4125422389866357
P_1781988620375_p0cbnkfeu,unassigned,0.4,0.1837557394292378
P_1781988738891_7h9upc12z,unassigned,0.5,0.8011257635132956
P_1781988684037_defszebtf,high_cluster_1,0.5,0.4242937893604879
P_1781988737572_3ftdr3l6p,unassigned,0.0,-0.8139169065819708
P_1781988419625_f0yzrcvqp,unassigned,0.35,-0.0722255811556854
P_1781988688323_0y382om4g,unassigned,0.4,0.4377643254304129
P_1781988693835_rwrc7688w,unassigned,0.5,0.7086332374929638
P_1781988785009_oemqi3v0g,high_cluster_1,0.35,0.1365355589918961
P_1781988319438_45nuy4nif,unassigned,0.3,-0.1213788243748331
P_1781988446343_zkrym71se,unassigned,0.5,0.9204842093526756
P_1781988232926_hfe0uyaa9,high_cluster_0,0.1,-0.3303825302988953
P_1781988467971_vc4utezcg,unassigned,0.2,-0.3274635041427067
P_1781988620308_b5pbdcrjn,unassigned,0.15,-0.2924972365862336
P_1781988237290_xr6m46mtb,high_cluster_1,0.3,0.2038267028350113
P_1781988477974_xip6ot17h,unassigned,0.0,-0.9920621265653944
P_1781988696494_q99wsysbp,unassigned,0.4,0.3317867291996859
P_1781988699013_pqvab7tbt,unassigned,0.15,-0.2727653175270753
P_1781988966426_y61mf9f6d,unassigned,0.8,1.869155527544497
P_1781988783513_89usvgflw,unassigned,0.2,-0.5389058339217895
P_1781988870534_n2d0d5hyi,high_cluster_1,0.4,0.1921208960128372
P_1781988746610_8klw7eqe9,unassigned,0.35,0.2576672453484928
P_1781988351702_6zh6v7e0a,unassigned,0.35,0.1718631908976654
P_1781988431168_rn97eusfm,high_cluster_1,0.45,0.4024869583369187
P_1781988400952_wi2rnpkcw,high_cluster_1,0.2,-0.4507942536151349
P_1781988516052_fg33frapa,unassigned,0.45,0.4479199473086644
P_1781988813145_8c5eblr94,unassigned,0.65,1.2014485653035007
P_1781988675584_qehc2nwbs,unassigned,0.45,0.685020991966071
P_1781988508945_hncd6snwu,unassigned,0.15,-0.7277252762950163
P_1781988789082_v0ftr1jlw,unassigned,0.05,-0.6899451261359825
P_1781988608895_kqy8e66l4,unassigned,0.4,0.580768529910192
P_1781988542721_wwus2au89,unassigned,0.3,-0.197019029076749
P_1781988733937_z2aupoc4a,unassigned,0.25,-0.3172591355855976
P_1781988607594_8gz3wu8xe,low_cluster_0,0.0,-0.9189085569326124
P_1781988690711_3d1mh8acw,high_cluster_1,0.5,0.3519362756798133
P_1781988699371_qlq4f1bky,unassigned,0.6,0.945748735660421
P_1781988708382_gco228o8n,unassigned,0.4,0.3351412488699163
P_1781988940233_o70k9pe6f,unassigned,0.3,-0.1738835953143673
P_1781988911002_pusrrzpfk,high_cluster_1,0.35,-0.2344839240310647
P_1781989027026_4d3i1mwe1,low_cluster_0,0.0,-0.8767587720221007
P_1781988516499_wba1jqt7m,unassigned,0.35,0.0036094971748407
