topic,party_group,n_ratings,n_keep,keep_rate
-1,democrat,15625,10667,0.682688
-1,republican,15052,10481,0.6963194259899017
0,democrat,2631,1994,0.757886735081718
0,republican,2735,2039,0.7455210237659964
1,democrat,2238,1679,0.7502234137622877
1,republican,2253,1727,0.7665335108743897
2,democrat,1887,1100,0.5829358770535241
2,republican,1757,1073,0.6107000569151964
3,democrat,749,625,0.8344459279038718
3,republican,954,768,0.8050314465408805
4,democrat,1213,728,0.6001648804616653
4,republican,1006,594,0.5904572564612326
5,democrat,1076,624,0.5799256505576208
5,republican,1019,610,0.5986261040235525
6,democrat,1057,763,0.7218543046357616
6,republican,982,682,0.6945010183299389
7,democrat,619,436,0.7043618739903069
7,republican,601,443,0.7371048252911814
8,democrat,762,522,0.6850393700787402
8,republican,722,510,0.7063711911357341
9,democrat,553,417,0.7540687160940326
9,republican,569,436,0.7662565905096661
10,democrat,494,304,0.6153846153846154
10,republican,483,296,0.6128364389233955
11,democrat,498,373,0.748995983935743
11,republican,454,342,0.7533039647577092
12,democrat,463,290,0.6263498920086393
12,republican,407,243,0.597051597051597
13,democrat,364,275,0.7554945054945055
13,republican,428,314,0.7336448598130841
14,democrat,371,272,0.7331536388140162
14,republican,400,302,0.755
15,democrat,361,229,0.6343490304709142
15,republican,354,211,0.596045197740113
16,democrat,261,175,0.6704980842911877
16,republican,288,192,0.6666666666666666
17,democrat,288,89,0.3090277777777778
17,republican,174,55,0.3160919540229885
18,democrat,263,188,0.714828897338403
18,republican,250,196,0.784
19,democrat,219,147,0.6712328767123288
19,republican,239,163,0.6820083682008368
20,democrat,276,183,0.6630434782608695
20,republican,248,171,0.6895161290322581
21,democrat,162,130,0.8024691358024691
21,republican,184,149,0.8097826086956522
22,democrat,203,130,0.6403940886699507
22,republican,164,117,0.7134146341463414
23,democrat,150,121,0.8066666666666666
23,republican,145,117,0.8068965517241379
24,democrat,224,163,0.7276785714285714
24,republican,207,160,0.7729468599033816
25,democrat,197,151,0.766497461928934
25,republican,209,169,0.8086124401913876
26,democrat,176,121,0.6875
26,republican,152,98,0.6447368421052632
27,democrat,151,99,0.6556291390728477
27,republican,109,70,0.6422018348623854
28,democrat,175,130,0.7428571428571429
28,republican,167,121,0.7245508982035929
29,democrat,163,126,0.7730061349693251
29,republican,142,100,0.704225352112676
30,democrat,147,112,0.7619047619047619
30,republican,149,110,0.738255033557047
31,democrat,111,71,0.6396396396396397
31,republican,121,83,0.6859504132231405
32,democrat,106,75,0.7075471698113207
32,republican,95,78,0.8210526315789474
33,democrat,52,42,0.8076923076923077
33,republican,71,58,0.8169014084507042
34,democrat,103,62,0.6019417475728155
34,republican,101,61,0.6039603960396039
35,democrat,123,82,0.6666666666666666
35,republican,106,61,0.5754716981132075
36,democrat,100,75,0.75
36,republican,77,62,0.8051948051948052
37,democrat,66,57,0.8636363636363636
37,republican,63,49,0.7777777777777778
38,democrat,81,61,0.7530864197530864
38,republican,98,76,0.7755102040816326
39,democrat,98,68,0.6938775510204082
39,republican,86,59,0.686046511627907
40,democrat,75,57,0.76
40,republican,88,77,0.875
41,democrat,93,68,0.7311827956989247
41,republican,95,62,0.6526315789473685
42,democrat,85,42,0.49411764705882355
42,republican,73,21,0.2876712328767123
43,democrat,112,74,0.6607142857142857
43,republican,86,58,0.6744186046511628
44,democrat,85,64,0.7529411764705882
44,republican,94,74,0.7872340425531915
45,democrat,57,38,0.6666666666666666
45,republican,40,27,0.675
46,democrat,85,61,0.7176470588235294
46,republican,84,67,0.7976190476190477
47,democrat,97,62,0.6391752577319587
47,republican,104,72,0.6923076923076923
48,democrat,56,34,0.6071428571428571
48,republican,61,48,0.7868852459016393
49,democrat,73,53,0.726027397260274
49,republican,88,66,0.75
50,democrat,95,63,0.6631578947368421
50,republican,67,41,0.6119402985074627
51,democrat,81,67,0.8271604938271605
51,republican,81,65,0.8024691358024691
52,democrat,72,52,0.7222222222222222
52,republican,55,42,0.7636363636363637
53,democrat,74,64,0.8648648648648649
53,republican,74,54,0.7297297297297297
54,democrat,66,35,0.5303030303030303
54,republican,63,31,0.49206349206349204
55,democrat,51,36,0.7058823529411765
55,republican,87,62,0.7126436781609196
56,democrat,57,37,0.6491228070175439
56,republican,43,31,0.7209302325581395
57,democrat,65,50,0.7692307692307693
57,republican,67,53,0.7910447761194029
58,democrat,63,52,0.8253968253968254
58,republican,73,62,0.8493150684931506
59,democrat,72,43,0.5972222222222222
59,republican,61,39,0.639344262295082
60,democrat,62,49,0.7903225806451613
60,republican,86,61,0.7093023255813954
61,democrat,79,56,0.7088607594936709
61,republican,57,45,0.7894736842105263
62,democrat,48,29,0.6041666666666666
62,republican,33,22,0.6666666666666666
63,democrat,62,43,0.6935483870967742
63,republican,50,32,0.64
64,democrat,42,26,0.6190476190476191
64,republican,54,36,0.6666666666666666
65,democrat,29,24,0.8275862068965517
65,republican,57,50,0.8771929824561403
66,democrat,48,43,0.8958333333333334
66,republican,65,53,0.8153846153846154
67,democrat,44,32,0.7272727272727273
67,republican,45,35,0.7777777777777778
68,democrat,40,26,0.65
68,republican,33,25,0.7575757575757576
69,democrat,45,27,0.6
69,republican,34,23,0.6764705882352942
70,democrat,43,22,0.5116279069767442
70,republican,38,27,0.7105263157894737
71,democrat,31,23,0.7419354838709677
71,republican,33,19,0.5757575757575758
72,democrat,37,29,0.7837837837837838
72,republican,17,13,0.7647058823529411
73,democrat,42,26,0.6190476190476191
73,republican,57,33,0.5789473684210527
74,democrat,57,38,0.6666666666666666
74,republican,43,37,0.8604651162790697
75,democrat,39,21,0.5384615384615384
75,republican,49,27,0.5510204081632653
76,democrat,64,32,0.5
76,republican,46,24,0.5217391304347826
77,democrat,41,34,0.8292682926829268
77,republican,34,22,0.6470588235294118
78,democrat,51,34,0.6666666666666666
78,republican,51,36,0.7058823529411765
79,democrat,44,25,0.5681818181818182
79,republican,22,13,0.5909090909090909
80,democrat,43,33,0.7674418604651163
