topic,n_posts,keep_rate,ci_low,ci_high,p_value,q_value,significant_bh
-1,8369,0.6975177157516743,0.692081643085509,0.703071166718419,0.38398993739713266,0.4595722926297897,False
0,1122,0.8183986220750925,0.8065218719880273,0.8295392141509624,1.19882660302889e-96,6.054074345295894e-95,True
1,862,0.7577408573638272,0.7423646893198779,0.7728258458386127,1.2172143039902553e-17,2.0489774117169298e-16,True
2,851,0.5910105757931845,0.5724424340635278,0.6082768235472155,5.249106600979938e-51,1.7671992223299127e-49,True
3,690,0.7523044628479412,0.7340343889644837,0.7697041877549067,1.1577604451572903e-12,1.2992644995654035e-11,True
4,636,0.5932670709793351,0.5729999638904093,0.6129741585610622,4.440924577462723e-37,1.1213334558093376e-35,True
5,598,0.6925253490470882,0.671695387392704,0.712330969315512,0.4329720585945511,0.5084904409075542,False
6,566,0.5898536092882383,0.5665146072796934,0.6149393125698316,6.421683302304297e-34,1.297180027065468e-32,True
7,358,0.6755861689520908,0.6490862899533729,0.702023167213314,0.016898472287757284,0.0371031674144236,True
8,326,0.7663781770376863,0.7411398721209551,0.7914116622510058,4.5869016543021514e-10,4.632770670845173e-09,True
9,259,0.6212814855671999,0.5879384913853899,0.6551869368292742,3.7072668075815516e-09,3.120282896381139e-08,True
10,251,0.7354297097324987,0.7047613938279175,0.7662032341269841,0.005112771841641522,0.014344165444605383,True
11,230,0.7585886818495512,0.7296464395229457,0.7884441253385636,5.117950121809313e-06,2.584564811513703e-05,True
12,229,0.6916042836348513,0.6544171558536078,0.7280641084328712,0.5446655224343314,0.6009815308660275,False
13,212,0.7335467205750225,0.6971099191352431,0.7670409374334862,0.007642998410137526,0.020863319984429463,True
14,200,0.5859523809523809,0.5487609201575367,0.623540069802385,4.820408117167687e-14,6.085765247924204e-13,True
15,171,0.6327694235588972,0.5938549923195086,0.6715617161669137,9.715991430435068e-06,4.6729292117806757e-05,True
16,165,0.7307359307359307,0.6921462962962963,0.7660626038137001,0.027473358516601647,0.0544080237289562,False
17,162,0.7331079757005683,0.6973914307658547,0.7688735557138334,0.04514454466477337,0.08290180020258382,False
18,155,0.7930721966205837,0.7593878791197272,0.8256470250706215,2.5791981138855465e-09,2.368172813658547e-08,True
19,144,0.31724537037037037,0.27988831267666886,0.3548836714799034,4.049338721796858e-99,4.089832109014827e-97,True
20,124,0.7414746543778803,0.7012203520008332,0.7817173310630342,0.010891961070856741,0.02683141629650075,True
21,108,0.8019620811287479,0.761280182780183,0.8397565339695201,2.0066602512556807e-07,1.219664395508659e-06,True
22,104,0.7284111721611721,0.6825591668706317,0.7704644672961505,0.2221051941161663,0.29516611323332625,False
23,99,0.8142135642135641,0.7752348139449203,0.8512051980490555,4.704736495820098e-09,3.655218354444845e-08,True
24,97,0.7595148837416877,0.7178838018092004,0.802355250377095,0.004813562189669215,0.013890565175902592,True
25,88,0.7055735930735931,0.6522012382233402,0.7543196914642698,0.8767911473089822,0.9036316926347674,False
26,78,0.6624847374847374,0.6021815476190477,0.7208051378446115,0.2057829786945639,0.28086595740744535,False
27,75,0.6941904761904761,0.6459694664902998,0.7440663095013179,0.8680012496411642,0.9036316926347674,False
28,72,0.675760582010582,0.6216569940476191,0.7320677083333332,0.5384021679202144,0.6009815308660275,False
29,72,0.7306382275132274,0.6722966167100644,0.7824849360850898,0.14399507568778236,0.21854731654171186,False
30,72,0.665079365079365,0.6034064386317908,0.7250335345405766,0.12451907233735779,0.19650666103239275,False
31,70,0.7773809523809523,0.7214895807846016,0.8286424459743735,0.0015284792293818413,0.004979883940889225,True
32,65,0.7063553113553114,0.6513629148629149,0.7609830967643467,0.7279426204551371,0.7905613404942887,False
33,64,0.78203125,0.7229119318181819,0.8408352272727273,0.0006729178831280183,0.0023565399063401283,True
34,63,0.7545351473922902,0.6973885575735671,0.8084926673567978,0.06995353358915951,0.12395275250008968,False
35,63,0.6632275132275132,0.5993723958333333,0.7178582908573264,0.13662791982442807,0.21229876772718823,False
36,62,0.6553763440860215,0.5862080244833783,0.7184109268707484,0.07954041706287472,0.13616240887034486,False
37,58,0.7603858784893268,0.7049141295862608,0.8153288801528075,0.030999001094525094,0.05907356812352895,False
38,56,0.46879251700680274,0.4055804558374566,0.5361171343537414,6.780372418482596e-17,9.783108775239172e-16,True
39,56,0.766156462585034,0.7027174640347943,0.8298460128732343,0.010607281514315278,0.026783385823646075,True
40,50,0.638,0.5692252604166667,0.7025744047619048,0.017758867351671866,0.03736761671914289,True
41,48,0.7266369047619049,0.651140642303433,0.7930287784679088,0.3688580646044166,0.4595722926297897,False
42,47,0.8099290780141843,0.746935941043084,0.8698437499999999,7.508423536266428e-05,0.0003447048987104133,True
43,46,0.5830745341614907,0.5039659468438538,0.6572478472614343,0.00030082112056405033,0.0012153173270787634,True
44,45,0.6618518518518518,0.5749834656084657,0.7451984126984126,0.38676876112408043,0.4595722926297897,False
45,44,0.6626033057851239,0.5880890151515151,0.7340646130092026,0.17118806104620465,0.24013880785648153,False
46,40,0.6258630952380952,0.5215088593576966,0.7279808407738093,0.013364588763006979,0.031038204155347932,True
47,39,0.7360195360195361,0.6556772486772486,0.8093075945793337,0.21785554220406694,0.29337879683481016,False
48,38,0.7802631578947369,0.7064991210722918,0.8506969246031747,0.013521593889458505,0.031038204155347932,True
49,36,0.7835317460317461,0.7175669748696064,0.8513987162263025,0.011835078303453275,0.028460545444018593,True
50,34,0.634313725490196,0.547045547385621,0.7191188725490197,0.08430194602446354,0.13958191063066916,False
