topic,n_posts_part2,share_part2,n_posts_part3,share_part3,delta
-1,2958.0,0.3447954307028791,3435,0.4003963165870148,0.0556008858841357
0,1547.0,0.18032404709173563,891,0.10385825853829117,-0.07646578855344446
1,907.0,0.10572327777130201,329,0.0383494579787854,-0.06737381979251661
2,206.0,0.02401212262501457,240,0.027975288495162606,0.003963165870148035
3,201.0,0.023429304114698683,464,0.05408555775731437,0.030656253642615688
4,199.0,0.02319617671057233,266,0.031005944748805223,0.007809768038232894
5,178.0,0.0207483389672456,149,0.017367991607413452,-0.003380347359832149
6,145.0,0.01690173679916074,217,0.025294323347709525,0.008392586548548783
7,143.0,0.016668609395034385,114,0.013288262035202237,-0.0033803473598321473
8,128.0,0.014920153864086723,96,0.011190115398065043,-0.0037300384660216793
9,124.0,0.014453899055834014,71,0.008276022846485605,-0.006177876209348409
10,111.0,0.012938570929012705,52,0.006061312507285231,-0.006877258421727474
11,100.0,0.011656370206317752,166,0.01934957454248747,0.007693204336169717
12,97.0,0.01130667910012822,99,0.011539806504254575,0.00023312740412635528
13,87.0,0.010141042079496445,78,0.009091968760927847,-0.001049073318568598
14,82.0,0.009558223569180558,81,0.00944165986711738,-0.00011656370206317851
15,73.0,0.00850915025061196,55,0.006411003613474764,-0.002098146637137196
16,73.0,0.00850915025061196,33,0.0038466021680848583,-0.004662548082527102
17,71.0,0.008276022846485605,73,0.00850915025061196,0.00023312740412635528
18,68.0,0.007926331740296071,126,0.014687026459960369,0.006760694719664298
19,66.0,0.0076932043361697166,91,0.010607296887749154,0.0029140925515794376
20,68.0,0.007926331740296071,40,0.004662548082527101,-0.0032637836577689696
21,62.0,0.007226949527917007,70,0.008159459144422426,0.0009325096165054194
22,62.0,0.007226949527917007,87,0.010141042079496445,0.0029140925515794384
23,56.0,0.006527567315537942,77,0.008975405058864669,0.002447837743326727
24,52.0,0.006061312507285231,23,0.002680965147453083,-0.003380347359832148
