topic,n_posts,share
-1,2958,0.3447954307028791
0,1547,0.18032404709173563
1,907,0.10572327777130201
2,206,0.02401212262501457
3,201,0.023429304114698683
4,199,0.02319617671057233
5,178,0.0207483389672456
6,145,0.01690173679916074
7,143,0.016668609395034385
8,128,0.014920153864086723
9,124,0.014453899055834014
10,111,0.012938570929012705
11,100,0.011656370206317752
12,97,0.01130667910012822
13,87,0.010141042079496445
14,82,0.009558223569180558
15,73,0.00850915025061196
16,73,0.00850915025061196
17,71,0.008276022846485605
18,68,0.007926331740296071
19,66,0.0076932043361697166
20,68,0.007926331740296071
21,62,0.007226949527917007
22,62,0.007226949527917007
23,56,0.006527567315537942
24,52,0.006061312507285231
25,50,0.005828185103158876
26,50,0.005828185103158876
27,38,0.004429420678400746
28,38,0.004429420678400746
29,34,0.0039631658701480355
30,22,0.0025644014453899055
31,33,0.0038466021680848583
32,30,0.003496911061895326
33,28,0.003263783657768971
34,13,0.0015153281268213078
35,27,0.0031472199557057933
36,26,0.0030306562536426157
37,26,0.0030306562536426157
38,25,0.002914092551579438
39,24,0.002797528849516261
40,24,0.002797528849516261
41,18,0.0020981466371371954
42,23,0.002680965147453083
43,22,0.0025644014453899055
44,22,0.0025644014453899055
45,22,0.0025644014453899055
46,20,0.0023312740412635507
47,19,0.002214710339200373
48,18,0.0020981466371371954
49,17,0.0019815829350740177
50,16,0.0018650192330108403
51,15,0.001748455530947663
52,15,0.001748455530947663
