topic,n_posts,share
-1,3908,0.4002048131080389
0,1001,0.1025089605734767
1,356,0.03645673323092678
2,279,0.02857142857142857
3,521,0.05335381464413722
4,344,0.03522785458269329
5,163,0.01669226830517153
6,254,0.026011264720942142
7,121,0.012391193036354328
8,117,0.011981566820276499
9,87,0.008909370199692781
10,72,0.007373271889400922
11,172,0.017613927291346646
12,112,0.011469534050179211
13,86,0.008806963645673323
14,93,0.009523809523809525
15,64,0.006554019457245264
16,36,0.003686635944700461
17,77,0.007885304659498209
18,146,0.014951356886840758
19,105,0.010752688172043012
20,43,0.0044034818228366615
21,76,0.007782898105478751
22,94,0.009626216077828981
23,86,0.008806963645673323
24,26,0.0026625704045058884
25,32,0.003277009728622632
26,45,0.004608294930875576
27,19,0.0019457245263696877
28,45,0.004608294930875576
29,30,0.0030721966205837174
30,25,0.002560163850486431
31,68,0.006963645673323093
32,14,0.0014336917562724014
33,28,0.002867383512544803
34,9,0.0009216589861751152
35,13,0.0013312852022529442
36,31,0.0031746031746031746
37,26,0.0026625704045058884
38,36,0.003686635944700461
39,23,0.0023553507424475166
40,16,0.001638504864311316
41,20,0.002048131080389145
42,23,0.0023553507424475166
43,26,0.0026625704045058884
44,16,0.001638504864311316
45,9,0.0009216589861751152
46,16,0.001638504864311316
47,30,0.0030721966205837174
48,8,0.000819252432155658
49,9,0.0009216589861751152
50,27,0.0027649769585253456
51,18,0.0018433179723502304
52,27,0.0027649769585253456
53,19,0.0019457245263696877
54,14,0.0014336917562724014
55,13,0.0013312852022529442
56,15,0.0015360983102918587
57,16,0.001638504864311316
58,13,0.0013312852022529442
59,11,0.0011264720942140297
60,11,0.0011264720942140297
61,16,0.001638504864311316
62,9,0.0009216589861751152
63,24,0.002457757296466974
64,18,0.0018433179723502304
65,25,0.002560163850486431
66,11,0.0011264720942140297
67,6,0.0006144393241167435
68,27,0.0027649769585253456
69,21,0.002150537634408602
70,19,0.0019457245263696877
71,26,0.0026625704045058884
72,9,0.0009216589861751152
73,6,0.0006144393241167435
74,5,0.0005120327700972862
75,21,0.002150537634408602
76,12,0.001228878648233487
77,10,0.0010240655401945725
78,20,0.002048131080389145
79,22,0.0022529441884280594
80,20,0.002048131080389145
81,9,0.0009216589861751152
82,3,0.00030721966205837174
83,10,0.0010240655401945725
84,12,0.001228878648233487
85,16,0.001638504864311316
86,6,0.0006144393241167435
87,16,0.001638504864311316
88,8,0.000819252432155658
89,8,0.000819252432155658
90,7,0.0007168458781362007
91,14,0.0014336917562724014
92,11,0.0011264720942140297
93,10,0.0010240655401945725
94,15,0.0015360983102918587
95,5,0.0005120327700972862
96,14,0.0014336917562724014
97,13,0.0013312852022529442
98,6,0.0006144393241167435
99,15,0.0015360983102918587
