topic,n_posts,share
-1,4461,0.44618923784756953
0,121,0.012102420484096819
1,506,0.05061012202440488
2,572,0.05721144228845769
3,169,0.016903380676135227
4,292,0.029205841168233646
5,435,0.04350870174034807
6,312,0.03120624124824965
7,237,0.023704740948189636
8,209,0.020904180836167234
9,172,0.017203440688137627
10,179,0.01790358071614323
11,58,0.0058011602320464095
12,117,0.011702340468093618
13,126,0.01260252050410082
14,107,0.010702140428085618
15,107,0.010702140428085618
16,129,0.012902580516103221
17,85,0.008501700340068013
18,9,0.0009001800360072014
19,39,0.003900780156031206
20,81,0.008101620324064814
21,32,0.003200640128025605
22,10,0.0010002000400080016
23,13,0.001300260052010402
24,71,0.007101420284056812
25,56,0.005601120224044809
26,33,0.0033006601320264054
27,56,0.005601120224044809
28,27,0.0027005401080216042
29,42,0.004200840168033607
30,47,0.004700940188037608
31,2,0.00020004000800160032
32,51,0.005101020204040808
33,36,0.0036007201440288058
34,54,0.0054010802160432084
35,50,0.005001000200040008
36,31,0.003100620124024805
37,32,0.003200640128025605
38,20,0.002000400080016003
39,33,0.0033006601320264054
40,34,0.0034006801360272052
41,28,0.0028005601120224045
42,24,0.002400480096019204
43,20,0.002000400080016003
44,29,0.0029005801160232048
45,35,0.0035007001400280055
46,24,0.002400480096019204
47,9,0.0009001800360072014
48,30,0.0030006001200240046
49,27,0.0027005401080216042
50,7,0.0007001400280056011
51,15,0.0015003000600120023
52,6,0.000600120024004801
53,14,0.0014002800560112022
54,18,0.0018003600720144029
55,19,0.001900380076015203
56,16,0.0016003200640128026
57,14,0.0014002800560112022
58,17,0.0017003400680136026
59,19,0.001900380076015203
60,18,0.0018003600720144029
61,13,0.001300260052010402
62,19,0.001900380076015203
63,4,0.00040008001600320064
64,9,0.0009001800360072014
65,2,0.00020004000800160032
66,16,0.0016003200640128026
67,21,0.0021004200840168035
69,6,0.000600120024004801
70,8,0.0008001600320064013
71,1,0.00010002000400080016
72,16,0.0016003200640128026
73,19,0.001900380076015203
74,19,0.001900380076015203
75,3,0.0003000600120024005
76,12,0.001200240048009602
77,13,0.001300260052010402
78,3,0.0003000600120024005
79,1,0.00010002000400080016
80,3,0.0003000600120024005
81,14,0.0014002800560112022
82,20,0.002000400080016003
83,12,0.001200240048009602
84,10,0.0010002000400080016
85,6,0.000600120024004801
86,15,0.0015003000600120023
87,5,0.0005001000200040008
88,12,0.001200240048009602
89,12,0.001200240048009602
90,12,0.001200240048009602
91,5,0.0005001000200040008
92,8,0.0008001600320064013
93,8,0.0008001600320064013
94,3,0.0003000600120024005
95,12,0.001200240048009602
96,2,0.00020004000800160032
97,3,0.0003000600120024005
98,9,0.0009001800360072014
