uri,url,author_handle,text,created_at,like_count,repost_count,reply_count,quote_count
at://did:plc:4u7gr63tgzfwoeaveb3kuizm/app.bsky.feed.post/3mu5sqiwpxi25,https://bsky.app/profile/dnsresearch.bsky.social/post/3mu5sqiwpxi25,dnsresearch.bsky.social,"The Impact of Climate Change on Soft Commodities: Coffee, Cocoa, and Cotton

The Quiet Unraveling: How Climate Change is Rewiring the Global Supply Chains of Coffee, Cocoa, and Cotton The global trade in soft commodities—agricultural goods like coffee, cocoa, and cotton—has always been a bet on the…",2026-08-28T16:45:07Z,0,0,0,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5sozfrkq2d,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5sozfrkq2d,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:44:19.637731+00:00,0,0,1,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5sogewqc22,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5sogewqc22,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:43:59.690516+00:00,0,0,1,0
at://did:plc:efpxdgsxdnfoermfwi3a6vtg/app.bsky.feed.post/3mu5sifccnk2x,https://bsky.app/profile/alfredtwu.com/post/3mu5sifccnk2x,alfredtwu.com,I wish there was a way but most likely this is another part of climate change that California needs to adapt to,2026-08-28T16:40:37.350Z,0,0,1,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5si5356p26,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5si5356p26,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:40:28.601785+00:00,0,0,1,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5si3yaob2h,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5si3yaob2h,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:40:27.459859+00:00,0,0,1,0
at://did:plc:fllkwj5ain5kdfkr3de7yxbd/app.bsky.feed.post/3mu5scumvhs2w,https://bsky.app/profile/commoner.bsky.social/post/3mu5scumvhs2w,commoner.bsky.social,"I learnt about climate change as a young man in the 80s, and the window of opportunity to transition. Often in the news. Campaigns focused on reducing/reusing as essential features.
I naively thought we would change.
But 'reduce' was quietly dropped, (anti-growth), and we have blown past the window.",2026-08-28T16:37:32.099Z,1,0,1,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5sbt3usm2k,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5sbt3usm2k,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:36:56.814840+00:00,0,0,1,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5sb6cj3h2r,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5sb6cj3h2r,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:36:34.992499+00:00,0,0,1,0
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5s3h6ssc2k,https://bsky.app/profile/eliemar.bsky.social/post/3mu5s3h6ssc2k,eliemar.bsky.social,"America we must act like Hungary who kicked out their Fascist leader friend of rapist Trump & his corrupt bootliking Republicans

Vote💙 #usa

ALL Democrats for
Lower Costs
Affordable Housing
Higher Wages
Free Health-Child Care
Free Tuition
Science
Climate Change 
GUN CONTROL 
No to School Shootings",2026-08-28T16:33:23.125Z,0,0,0,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5s36sfyc26,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5s36sfyc26,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:33:14.186546+00:00,0,0,1,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5s2l2ykl2o,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5s2l2ykl2o,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:32:53.497124+00:00,0,0,1,0
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5s2dj7kc2k,https://bsky.app/profile/eliemar.bsky.social/post/3mu5s2dj7kc2k,eliemar.bsky.social,"America we have a CORRUPT Trump/Republican regime whose economy is UNAFFORDABLE

Republicans/Trump have proven they serve OLIGARCHS

Democrats for WORKERS
Lower Costs
Affordable Housing
Higher Wages
Free Health-Child Care
Free Tuition
Science
Climate Change
GUN CONTROL
No to School Shootings #usa",2026-08-28T16:32:45.717Z,0,0,0,0
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5rzpoa7k2k,https://bsky.app/profile/eliemar.bsky.social/post/3mu5rzpoa7k2k,eliemar.bsky.social,"America we must act like Hungary who kicked out their Fascist leader friend of rapist Trump & his corrupt bootliking Republicans

Vote💙 #usa

ALL Democrats for
Lower Costs
Affordable Housing
Higher Wages
Free Health-Child Care
Free Tuition
Science
Climate Change 
GUN CONTROL 
No to School Shootings",2026-08-28T16:32:24.911Z,0,0,0,0
at://did:plc:cjxglxdan3ecs5wujcbbtx65/app.bsky.feed.post/3mu5rxpmr7c2t,https://bsky.app/profile/birds.dergn.bike/post/3mu5rxpmr7c2t,birds.dergn.bike,"Correct! They are not native to the west. Though their movement wasn't related to climate change... It was people! As folks moved into the great plains trees were planted and forests grew where there were none before. This ""bridged"" the plains and allowed the owls to expabd their range.",2026-08-28T16:31:17.754Z,0,0,0,0
