uri,url,author_handle,text,created_at,like_count,repost_count,reply_count,quote_count
at://did:plc:4u7gr63tgzfwoeaveb3kuizm/app.bsky.feed.post/3mu5sqiwpxi25,https://bsky.app/profile/dnsresearch.bsky.social/post/3mu5sqiwpxi25,dnsresearch.bsky.social,"The Impact of Climate Change on Soft Commodities: Coffee, Cocoa, and Cotton

The Quiet Unraveling: How Climate Change is Rewiring the Global Supply Chains of Coffee, Cocoa, and Cotton The global trade in soft commodities—agricultural goods like coffee, cocoa, and cotton—has always been a bet on the…",2026-08-28T16:45:07Z,0,0,0,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5sozfrkq2d,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5sozfrkq2d,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:44:19.637731+00:00,0,0,1,0
at://did:plc:vfmtystszucn7zth6i7rgxcz/app.bsky.feed.post/3mu5soivucs27,https://bsky.app/profile/reheissergaspard.bsky.social/post/3mu5soivucs27,reheissergaspard.bsky.social,😆Von der la chienne parle de CLIMATE CHANGE et la meuf fait du tricot 🧶,2026-08-28T16:44:02.463Z,0,0,0,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5sogewqc22,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5sogewqc22,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:43:59.690516+00:00,0,0,1,0
at://did:plc:efpxdgsxdnfoermfwi3a6vtg/app.bsky.feed.post/3mu5sifccnk2x,https://bsky.app/profile/alfredtwu.com/post/3mu5sifccnk2x,alfredtwu.com,I wish there was a way but most likely this is another part of climate change that California needs to adapt to,2026-08-28T16:40:37.350Z,0,0,1,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5si5356p26,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5si5356p26,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:40:28.601785+00:00,0,0,1,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5si3yaob2h,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5si3yaob2h,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:40:27.459859+00:00,0,0,1,0
at://did:plc:rrvfvjmkna7yp5zr6aopsray/app.bsky.feed.post/3mu5sejvl4j2o,https://bsky.app/profile/antonie.eurosky.social/post/3mu5sejvl4j2o,antonie.eurosky.social,"Via: Antonie.ai
#SoilHealth #Agriculture #Crops #Monitoring #Analyses",2026-08-28T16:38:27.9334948+00:00,0,0,0,0
at://did:plc:fllkwj5ain5kdfkr3de7yxbd/app.bsky.feed.post/3mu5scumvhs2w,https://bsky.app/profile/commoner.bsky.social/post/3mu5scumvhs2w,commoner.bsky.social,"I learnt about climate change as a young man in the 80s, and the window of opportunity to transition. Often in the news. Campaigns focused on reducing/reusing as essential features.
I naively thought we would change.
But 'reduce' was quietly dropped, (anti-growth), and we have blown past the window.",2026-08-28T16:37:32.099Z,1,0,1,0
at://did:plc:6zbwvrfbeey6gotved37gkq7/app.bsky.feed.post/3mu5scuuhns23,https://bsky.app/profile/zathras5.bsky.social/post/3mu5scuuhns23,zathras5.bsky.social,"Thread.  Early analysis of the Bhote Koshi flood catastrophe in Tibet and Nepal using Landsat data, via  @wxnb.bsky.social.  A glacier does not become a weapon of mass destruction unless its surrounding environment changes.  That’s why understanding this as a climate change disaster is so important.",2026-08-28T16:37:32.339Z,0,0,0,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5sbt3usm2k,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5sbt3usm2k,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:36:56.814840+00:00,0,0,1,0
at://did:plc:qi7e6jxrlrmsqxiwmv3ggmzw/app.bsky.feed.post/3mu5sbr2sjk25,https://bsky.app/profile/joshmorsell.bsky.social/post/3mu5sbr2sjk25,joshmorsell.bsky.social,www.scientificamerican.com/article/clim...,2026-08-28T16:36:54.807Z,3,2,0,0
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mu5sb6cj3h2r,https://bsky.app/profile/ccf-observatory.bsky.social/post/3mu5sb6cj3h2r,ccf-observatory.bsky.social,"📍 In your community · St. Anthony
Atlantic sturgeon caught off the Northern Peninsula
Two fishermen captured a large Atlantic sturgeon, a biologically significant species according to Environment and Climate Change Canada.
#ClimateChange #cdnpoli",2026-08-28T16:36:34.992499+00:00,0,0,1,0
at://did:plc:lmp6gv662sgzurgqepbgxe56/app.bsky.feed.post/3mu5sac4xwk2a,https://bsky.app/profile/marynlm.bsky.social/post/3mu5sac4xwk2a,marynlm.bsky.social,Climate Change Raises Risk of Disasters Like Nepal Floods www.nytimes.com/2026/08/27/c...,2026-08-28T16:36:05.593Z,0,0,0,0
at://did:plc:idtftoyugv23t5ny3oo22udq/app.bsky.feed.post/3mu5s7jzr7s2p,https://bsky.app/profile/thomasronge.bsky.social/post/3mu5s7jzr7s2p,thomasronge.bsky.social,"""the glaciers lie on permafrost: ground that is permanently frozen to some depth. As this permafrost warms and thaws, the rock, ice and mud become unstable, resulting in rockfalls and destabilisation of ice in steep terrain.""

theconversation.com/nepal-tibet-...",2026-08-28T16:35:40.323Z,2,2,0,0
at://did:plc:rrvfvjmkna7yp5zr6aopsray/app.bsky.feed.post/3mu5s6zsz5n2r,https://bsky.app/profile/antonie.eurosky.social/post/3mu5s6zsz5n2r,antonie.eurosky.social,"Via: Antonie.ai
#SoilHealth #Agriculture #Crops #Monitoring #Analyses",2026-08-28T16:35:23.3006002+00:00,0,0,0,0
at://did:plc:eeoemrdkcnaoiq3vfvcg6s7v/app.bsky.feed.post/3mu5s4iehag2l,https://bsky.app/profile/hackernewsrobot.bsky.social/post/3mu5s4iehag2l,hackernewsrobot.bsky.social,"Climate change is strengthening El Niño, coral records suggest",2026-08-28T16:33:57Z,0,0,0,0
at://did:plc:zw2dpbbrvr7erudb5nsizgi2/app.bsky.feed.post/3mu5s3ixo5225,https://bsky.app/profile/dchope2018.bsky.social/post/3mu5s3ixo5225,dchope2018.bsky.social,www.livescience.com/planet-earth...,2026-08-28T16:33:24.989Z,0,0,0,0
