model,n_remove,n,n_label_remove,accuracy,precision,recall,f1,invalid_rate
unanimous_model,0,3962,0,0.9611307420494699,0.0,0.0,0.0,0.0
unanimous_model,1,4511,0,0.8725338062513855,0.0,0.0,0.0,0.0
unanimous_model,2,3277,0,0.7052181873664938,0.0,0.0,0.0,0.0
unanimous_model,3,1881,1881,0.542796384901648,1.0,0.542796384901648,0.7036526533425224,0.0
unanimous_model,4,934,934,0.7612419700214133,1.0,0.7612419700214133,0.8644376899696049,0.0
unanimous_model,5,319,319,0.987460815047022,1.0,0.987460815047022,0.9936908517350158,0.0
modal_model,0,3962,0,0.9346289752650176,0.0,0.0,0.0,0.0
modal_model,1,4511,0,0.8013744180891155,0.0,0.0,0.0,0.0
modal_model,2,3277,0,0.5981080256332011,0.0,0.0,0.0,0.0
modal_model,3,1881,1881,0.7363104731525785,1.0,0.7363104731525785,0.848132271892223,0.0
modal_model,4,934,934,0.9132762312633833,1.0,0.9132762312633833,0.9546726357022943,0.0
modal_model,5,319,319,0.9529780564263323,1.0,0.9529780564263323,0.9759229534510433,0.0
