term,count,bucket
gun,223,fn
mirror,83,fn
climate,78,fn
primary_policy_domain,66,fn
mirror_shift_direction,63,fn
policy,61,fn
shifts,61,fn
guns,54,fn
rights,54,fn
control,48,fn
laws,46,fn
criticized_actor_type,44,fn
energy,43,fn
we,41,fn
normative_moral_language,40,fn
trump,39,fn
red,39,fn
you,34,fn
nra,34,fn
about,33,fn
approximate_token_length_band,32,fn
amendment,31,fn
flag,31,fn
informal_register_or_slang,29,fn
background,29,fn
political,28,fn
second,28,fn
factual_assertion_vs_speculation,27,fn
reform,27,fn
checks,27,fn
if,26,fn
anti,26,fn
fossil,26,fn
persuasion_or_argumentation,25,fn
your,24,fn
policy_prescription_present,24,fn
causal_claim_present,24,fn
firearm,23,fn
biden,23,fn
but,21,fn
geographic_scope,21,fn
agreement,21,fn
named_proper_nouns_density,20,fn
who,20,fn
all,20,fn
renewable,20,fn
ban,20,fn
criticized,19,fn
weapons,19,fn
states,19,fn
paris,19,fn
like,18,fn
politicians,18,fn
carry,18,fn
medium,17,fn
crisis,17,fn
they,17,fn
short,17,fn
assault,17,fn
pro,17,fn
advocates,17,fn
safety,17,fn
ridicule_or_mockery,17,fn
state,17,fn
critique,16,fn
emphasis,16,fn
constitutional,16,fn
have,16,fn
tax,16,fn
fuel,16,fn
will,15,fn
argues,15,fn
conditional_if_then_structure,15,fn
regulation,15,fn
democrats,15,fn
violence,15,fn
people,15,fn
action,15,fn
carbon,15,fn
blame,14,fn
green,14,fn
only,14,fn
right,14,fn
list_or_enumeration,14,fn
all_caps_emphasis,14,fn
change,14,fn
being,14,fn
up,14,fn
maga,14,fn
data,14,fn
asserts,13,fn
would,13,fn
actors,13,fn
need,13,fn
left,13,fn
children,13,fn
republicans,13,fn
uses,13,fn
multiple,13,fn
when,13,fn
should,13,fn
legislation,13,fn
them,13,fn
want,13,fn
contrastive_but_however_structure,12,fn
culture_war_topic_salience,12,fn
framing,12,fn
framed,12,fn
then,12,fn
down,12,fn
safe,12,fn
don,12,fn
kids,12,fn
money,12,fn
keep,12,fn
criticism,12,fn
coal,12,fn
billionaires,12,fn
military,12,fn
school,11,fn
has,11,fn
national,11,fn
profanity_or_taboo_language,11,fn
economic_cost_benefit_framing,11,fn
get,11,fn
emphatic_outrage,11,fn
organization,11,fn
fund,11,fn
fuels,11,fn
venting_or_expressive,10,fn
border,10,fn
claims,10,fn
child,10,fn
republican,10,fn
used,10,fn
