party_group,condition,phase,decision,n,original_positive_rate,mirror_positive_rate
democrat,control,1.0,keep,2317,0.11048769961156668,0.1320673284419508
democrat,control,1.0,remove,1153,0.045099739809193407,0.0797918473547268
democrat,control,2.0,keep,2481,0.11608222490931076,0.11729141475211609
democrat,control,2.0,remove,989,0.06875631951466127,0.09201213346814964
democrat,training,1.0,keep,2275,0.11208791208791209,0.1301098901098901
democrat,training,1.0,remove,1125,0.07288888888888889,0.07733333333333334
democrat,training,2.0,keep,2351,0.11441939600170141,0.12973202892386218
democrat,training,2.0,remove,1049,0.052430886558627265,0.09151572926596759
democrat,training_assisted,1.0,keep,2311,0.11639982691475552,0.13760276936391172
democrat,training_assisted,1.0,remove,1059,0.056657223796033995,0.06421152030217187
democrat,training_assisted,2.0,keep,2336,0.0997431506849315,0.1211472602739726
democrat,training_assisted,2.0,remove,1034,0.05705996131528046,0.06673114119922631
republican,control,1.0,keep,2159,0.12320518758684576,0.1329319129226494
republican,control,1.0,remove,1201,0.0649458784346378,0.08243130724396336
republican,control,2.0,keep,2308,0.1061525129982669,0.12435008665511266
republican,control,2.0,remove,1052,0.045627376425855515,0.0741444866920152
republican,training,1.0,keep,2127,0.10907381288199341,0.12411847672778561
republican,training,1.0,remove,1093,0.05489478499542543,0.07502287282708142
republican,training,2.0,keep,2243,0.11680784663397235,0.13909942041908158
republican,training,2.0,remove,977,0.052200614124872056,0.0767656090071648
republican,training_assisted,1.0,keep,2053,0.11203117389186557,0.14223088163662934
republican,training_assisted,1.0,remove,1207,0.07290803645401822,0.08533554266777134
republican,training_assisted,2.0,keep,2217,0.11005863779882724,0.12629679747406405
republican,training_assisted,2.0,remove,1043,0.06327900287631831,0.08053691275167785
