toxicity_stratum,sampled_stance,cell,n
low,left,unanimous_keep,396
low,left,majority_keep,205
low,left,majority_remove,20
low,left,unanimous_remove,2
low,right,unanimous_keep,262
low,right,majority_keep,142
low,right,majority_remove,15
low,right,unanimous_remove,1
middle,left,unanimous_keep,344
middle,left,majority_keep,383
middle,left,majority_remove,110
middle,left,unanimous_remove,18
middle,right,unanimous_keep,420
middle,right,majority_keep,466
middle,right,majority_remove,137
middle,right,unanimous_remove,24
high,left,unanimous_keep,40
high,left,majority_keep,108
high,left,majority_remove,115
high,left,unanimous_remove,76
high,right,unanimous_keep,28
high,right,majority_keep,176
high,right,majority_remove,197
high,right,unanimous_remove,33
